tag,operator,model,features,accuracy,ci95_low,ci95_high,n,n_boot
train_domain_embedding_min2_max10_top50,top5,top5_surface_plus_train_domain,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count"", ""domain_contrast_delta""]",0.6028225806451613,0.5826612903225806,0.6221774193548387,2480,5000
train_domain_embedding_min2_max10_top50,top2,top2_surface_plus_train_domain,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count"", ""domain_contrast_delta""]",0.6028225806451613,0.5830645161290322,0.6221774193548387,2480,5000
train_domain_embedding_min2_max10_top50,mean,mean_surface_plus_train_domain,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count"", ""domain_contrast_delta""]",0.6020161290322581,0.582258064516129,0.6217741935483871,2480,5000
train_domain_embedding_min2_max10_top50,mean,surface_format,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count""]",0.6016129032258064,0.5814516129032258,0.6213709677419355,2480,5000
train_domain_embedding_min2_max10_top50,top3,surface_format,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count""]",0.6016129032258064,0.5814516129032258,0.6213709677419355,2480,5000
train_domain_embedding_min2_max10_top50,top5,surface_format,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count""]",0.6016129032258064,0.5814516129032258,0.6213709677419355,2480,5000
train_domain_embedding_min2_max10_top50,top2,surface_format,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count""]",0.6016129032258064,0.5814516129032258,0.6213709677419355,2480,5000
train_domain_embedding_min2_max10_top50,max,surface_format,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count""]",0.6016129032258064,0.5814516129032258,0.6213709677419355,2480,5000
train_domain_embedding_min2_max10_top50,top3,top3_surface_plus_train_domain,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count"", ""domain_contrast_delta""]",0.6012096774193548,0.5814516129032258,0.6205645161290323,2480,5000
train_domain_embedding_min2_max10_top50,max,max_surface_plus_train_domain,"[""chars"", ""words"", ""type_token_ratio"", ""avg_word_len"", ""punct_count"", ""newline_count"", ""paragraph_count"", ""domain_contrast_delta""]",0.6004032258064517,0.5806451612903226,0.619758064516129,2480,5000
train_domain_embedding_min2_max10_top50,top5,top5_train_domain_logistic,"[""domain_contrast_delta""]",0.535483870967742,0.5161290322580645,0.555241935483871,2480,5000
train_domain_embedding_min2_max10_top50,top5,top5_train_domain_sign_rule,"[""domain_contrast_delta > 0""]",0.535483870967742,0.5161290322580645,0.555241935483871,2480,5000
train_domain_embedding_min2_max10_top50,mean,mean_train_domain_sign_rule,"[""domain_contrast_delta > 0""]",0.5346774193548387,0.5145161290322581,0.5536391129032256,2480,5000
train_domain_embedding_min2_max10_top50,mean,mean_train_domain_logistic,"[""domain_contrast_delta""]",0.5346774193548387,0.5145161290322581,0.5536391129032256,2480,5000
train_domain_embedding_min2_max10_top50,top2,top2_train_domain_sign_rule,"[""domain_contrast_delta > 0""]",0.5318548387096774,0.5116935483870968,0.5512096774193549,2480,5000
train_domain_embedding_min2_max10_top50,top2,top2_train_domain_logistic,"[""domain_contrast_delta""]",0.5318548387096774,0.5116935483870968,0.5512096774193549,2480,5000
train_domain_embedding_min2_max10_top50,top3,top3_train_domain_sign_rule,"[""domain_contrast_delta > 0""]",0.5298387096774193,0.510483870967742,0.5495967741935484,2480,5000
train_domain_embedding_min2_max10_top50,top3,top3_train_domain_logistic,"[""domain_contrast_delta""]",0.5298387096774193,0.510483870967742,0.5495967741935484,2480,5000
train_domain_embedding_min2_max10_top50,max,max_train_domain_logistic,"[""domain_contrast_delta""]",0.5201612903225806,0.5004032258064516,0.5399193548387097,2480,5000
train_domain_embedding_min2_max10_top50,max,max_train_domain_sign_rule,"[""domain_contrast_delta > 0""]",0.5201612903225806,0.5004032258064516,0.5399193548387097,2480,5000
