filename,n_preview_rows,columns,has_item_id,has_target_value,has_target_col,datasets,target_cols,item_prefixes,score_cols
external_d_wordctrl_human_target_summary.csv,25,"seed,metric,rho,p,file",False,False,False,,,,
supervised_similarity_baselines_embedding_kfold_surface_chaudhuri_Surprise.csv,900,"method,observer,fold_seed,seed,fold_id,item_id,control_item_id,target_col,target_value,pool_frac,low_candidate_frac,d_n,high_pool_ids,low_pool_ids,high_sample_ids,low_sample_ids,word_len_calc,char_len_calc,line_count,mean_line_words,max_line_words,short_line_rate,type_token_ratio,avg_word_chars,punct_per_char,archaic_per_word,score_high_raw,score_low_raw,score_pref_raw,score_high_ctrl,score_low_ctrl,score_pref_ctrl,score_high_struct,score_low_struct,score_pref_struct",True,True,True,,target__Surprise,chaudhuri,score_high_raw|score_low_raw|score_pref_raw|score_high_ctrl|score_low_ctrl|score_pref_ctrl|score_high_struct|score_low_struct|score_pref_struct
supervised_similarity_baselines_tfidf_kfold_surface_chaudhuri_Surprise.csv,900,"method,observer,fold_seed,seed,fold_id,item_id,control_item_id,target_col,target_value,pool_frac,low_candidate_frac,d_n,high_pool_ids,low_pool_ids,high_sample_ids,low_sample_ids,word_len_calc,char_len_calc,line_count,mean_line_words,max_line_words,short_line_rate,type_token_ratio,avg_word_chars,punct_per_char,archaic_per_word,score_high_raw,score_low_raw,score_pref_raw,score_high_ctrl,score_low_ctrl,score_pref_ctrl,score_high_struct,score_low_struct,score_pref_struct",True,True,True,,target__Surprise,chaudhuri,score_high_raw|score_low_raw|score_pref_raw|score_high_ctrl|score_low_ctrl|score_pref_ctrl|score_high_struct|score_low_struct|score_pref_struct
vscore_distilgpt2_external_d.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
vscore_distilgpt2_external_d_seed17_dn128.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
vscore_distilgpt2_external_d_seed17_dn32.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
vscore_distilgpt2_external_d_seed18_dn128.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
vscore_distilgpt2_external_d_seed18_dn32.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
vscore_distilgpt2_external_d_seed19_dn128.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
vscore_distilgpt2_external_d_seed19_dn32.csv,46,"item_id,dataset,tier,authorship,poet,title,human_quality_composite,word_len,is_ai,v_raw,v_ctrl,v_struct,nll_hist,observer,d_path,d_n,d_hash,control_mode",True,False,False,chaudhuri_2024|porter_machery_2024,,chaudhuri|porter,v_raw|v_ctrl|v_struct
